Week,Team,Points,Opponent,Opponent points,Year,Win?
12,Priests with guns,119.1,Polk High Panthers,146.29,2016,FALSE
13,The Indubitablys,171.96,Binaries,137.25,2016,TRUE
13,Binaries,137.25,The Indubitablys,171.96,2016,FALSE
13,Earthbreakwood,131.34,The Adult Beverages,139.54,2016,FALSE
13,The Adult Beverages,139.54,Earthbreakwood,131.34,2016,TRUE
13,Franks,169.23,Polk High Panthers,79.96,2016,TRUE
13,Polk High Panthers,79.96,Franks,169.23,2016,FALSE
13,Priests with guns,155.95,The Chillybows,149.14,2016,TRUE
13,The Chillybows,149.14,Priests with guns,155.95,2016,FALSE
14,The Indubitablys,146.06,Earthbreakwood,126.18,2016,TRUE
14,Earthbreakwood,126.18,The Indubitablys,146.06,2016,FALSE
14,Binaries,127.63,The Adult Beverages,95.77,2016,TRUE
14,The Adult Beverages,95.77,Binaries,127.63,2016,FALSE
14,Franks,89.86,Priests with guns,158.12,2016,FALSE
14,Priests with guns,158.12,Franks,89.86,2016,TRUE
14,Polk High Panthers,143.1,The Chillybows,120.55,2016,TRUE
14,The Chillybows,120.55,Polk High Panthers,143.1,2016,FALSE
1,The Indubitablys,189.62,The Chillybows,140.82,2015,TRUE
1,The Chillybows,140.82,The Indubitablys,189.62,2015,FALSE
1,Binaries,176.25,Nuns with guns,150.96,2015,TRUE
1,Nuns with guns,150.96,Binaries,176.25,2015,FALSE
1,Priests with guns,137.19,Polk High Panthers,136.78,2015,TRUE
1,Polk High Panthers,136.78,Priests with guns,137.19,2015,FALSE
1,Franks,101.28,Earthbreakwood,139.88,2015,FALSE
1,Earthbreakwood,139.88,Franks,101.28,2015,TRUE
2,The Indubitablys,136.47,Franks,111.91,2015,TRUE
2,Franks,111.91,The Indubitablys,136.47,2015,FALSE
2,Binaries,183.71,The Chillybows,132.84,2015,TRUE
2,The Chillybows,132.84,Binaries,183.71,2015,FALSE
2,Priests with guns,97.01,Earthbreakwood,124.94,2015,FALSE
2,Earthbreakwood,124.94,Priests with guns,97.01,2015,TRUE
2,Nuns with guns,165.35,Polk High Panthers,130.01,2015,TRUE
2,Polk High Panthers,130.01,Nuns with guns,165.35,2015,FALSE
3,The Indubitablys,171.87,Nuns with guns,162.03,2015,TRUE
3,Nuns with guns,162.03,The Indubitablys,171.87,2015,FALSE
3,Binaries,142.74,Franks,175.93,2015,FALSE
3,Franks,175.93,Binaries,142.74,2015,TRUE
3,Priests with guns,186.76,The Chillybows,157.08,2015,TRUE
3,The Chillybows,157.08,Priests with guns,186.76,2015,FALSE
3,Earthbreakwood,166.21,Polk High Panthers,115.03,2015,TRUE
3,Polk High Panthers,115.03,Earthbreakwood,166.21,2015,FALSE
4,The Indubitablys,174.75,Binaries,121.62,2015,TRUE
4,Binaries,121.62,The Indubitablys,174.75,2015,FALSE
4,Priests with guns,115.04,Nuns with guns,102.51,2015,TRUE
4,Nuns with guns,102.51,Priests with guns,115.04,2015,FALSE
4,Franks,107.83,Polk High Panthers,118.33,2015,FALSE
4,Polk High Panthers,118.33,Franks,107.83,2015,TRUE
4,Earthbreakwood,105.97,The Chillybows,162.83,2015,FALSE
4,The Chillybows,162.83,Earthbreakwood,105.97,2015,TRUE
5,The Indubitablys,141.63,Polk High Panthers,137.22,2015,TRUE
5,Polk High Panthers,137.22,The Indubitablys,141.63,2015,FALSE
5,Binaries,153.63,Priests with guns,150.93,2015,TRUE
5,Priests with guns,150.93,Binaries,153.63,2015,FALSE
5,Nuns with guns,151.47,Earthbreakwood,142.34,2015,TRUE
5,Earthbreakwood,142.34,Nuns with guns,151.47,2015,FALSE
5,Franks,110.01,The Chillybows,138.91,2015,FALSE
5,The Chillybows,138.91,Franks,110.01,2015,TRUE
6,The Indubitablys,149.81,Priests with guns,165.53,2015,FALSE
6,Priests with guns,165.53,The Indubitablys,149.81,2015,TRUE
6,Binaries,154.33,Earthbreakwood,150.35,2015,TRUE
6,Earthbreakwood,150.35,Binaries,154.33,2015,FALSE
6,Nuns with guns,152.6,Franks,154.35,2015,FALSE
6,Franks,154.35,Nuns with guns,152.6,2015,TRUE
6,The Chillybows,157.87,Polk High Panthers,127.73,2015,TRUE
6,Polk High Panthers,127.73,The Chillybows,157.87,2015,FALSE
7,The Indubitablys,170.96,Earthbreakwood,140.15,2015,TRUE
7,Earthbreakwood,140.15,The Indubitablys,170.96,2015,FALSE
7,Binaries,153.13,Polk High Panthers,114.37,2015,TRUE
7,Polk High Panthers,114.37,Binaries,153.13,2015,FALSE
7,Priests with guns,182.25,Franks,128.56,2015,TRUE
7,Franks,128.56,Priests with guns,182.25,2015,FALSE
7,Nuns with guns,131.89,The Chillybows,145.44,2015,FALSE
7,The Chillybows,145.44,Nuns with guns,131.89,2015,TRUE
8,The Indubitablys,175.19,The Chillybows,149.92,2015,TRUE
8,The Chillybows,149.92,The Indubitablys,175.19,2015,FALSE
8,Binaries,146.71,Nuns with guns,148.49,2015,FALSE
8,Nuns with guns,148.49,Binaries,146.71,2015,TRUE
8,Priests with guns,153.5,Polk High Panthers,146.23,2015,TRUE
8,Polk High Panthers,146.23,Priests with guns,153.5,2015,FALSE
8,Franks,140.82,Earthbreakwood,145.71,2015,FALSE
8,Earthbreakwood,145.71,Franks,140.82,2015,TRUE
9,The Indubitablys,148.33,Franks,142.84,2015,TRUE
9,Franks,142.84,The Indubitablys,148.33,2015,FALSE
9,Binaries,179.18,The Chillybows,154.97,2015,TRUE
9,The Chillybows,154.97,Binaries,179.18,2015,FALSE
9,Priests with guns,177.25,Earthbreakwood,172.42,2015,TRUE
9,Earthbreakwood,172.42,Priests with guns,177.25,2015,FALSE
9,Nuns with guns,96.11,Polk High Panthers,137.18,2015,FALSE
9,Polk High Panthers,137.18,Nuns with guns,96.11,2015,TRUE
10,The Indubitablys,141.57,Nuns with guns,117.19,2015,TRUE
10,Nuns with guns,117.19,The Indubitablys,141.57,2015,FALSE
10,Binaries,145.47,Franks,164.32,2015,FALSE
10,Franks,164.32,Binaries,145.47,2015,TRUE
10,Priests with guns,128.28,The Chillybows,138.35,2015,FALSE
10,The Chillybows,138.35,Priests with guns,128.28,2015,TRUE
10,Earthbreakwood,131.09,Polk High Panthers,121.14,2015,TRUE
10,Polk High Panthers,121.14,Earthbreakwood,131.09,2015,FALSE
11,The Indubitablys,173.14,Binaries,127.52,2015,TRUE
11,Binaries,127.52,The Indubitablys,173.14,2015,FALSE
11,Priests with guns,120.77,Nuns with guns,133.54,2015,FALSE
11,Nuns with guns,133.54,Priests with guns,120.77,2015,TRUE
11,Franks,89.63,Polk High Panthers,146.98,2015,FALSE
11,Polk High Panthers,146.98,Franks,89.63,2015,TRUE
11,Earthbreakwood,96.87,The Chillybows,96.98,2015,FALSE
11,The Chillybows,96.98,Earthbreakwood,96.87,2015,TRUE
12,The Indubitablys,173.29,Polk High Panthers,110.33,2015,TRUE
12,Polk High Panthers,110.33,The Indubitablys,173.29,2015,FALSE
12,Binaries,137.79,Priests with guns,146.06,2015,FALSE
12,Priests with guns,146.06,Binaries,137.79,2015,TRUE
12,Nuns with guns,130.61,Earthbreakwood,136.82,2015,FALSE
12,Earthbreakwood,136.82,Nuns with guns,130.61,2015,TRUE
12,Franks,197.94,The Chillybows,168.73,2015,TRUE
12,The Chillybows,168.73,Franks,197.94,2015,FALSE
13,The Indubitablys,162.41,Priests with guns,186.39,2015,FALSE
13,Priests with guns,186.39,The Indubitablys,162.41,2015,TRUE
13,Binaries,123.34,Earthbreakwood,138.82,2015,FALSE
13,Earthbreakwood,138.82,Binaries,123.34,2015,TRUE
13,Nuns with guns,152.15,Franks,160.8,2015,FALSE
13,Franks,160.8,Nuns with guns,152.15,2015,TRUE
13,The Chillybows,131.31,Polk High Panthers,184.96,2015,FALSE
13,Polk High Panthers,184.96,The Chillybows,131.31,2015,TRUE
14,The Indubitablys,162.14,Earthbreakwood,79.33,2015,TRUE
14,Earthbreakwood,79.33,The Indubitablys,162.14,2015,FALSE
14,Binaries,167.05,Polk High Panthers,134.05,2015,TRUE
14,Polk High Panthers,134.05,Binaries,167.05,2015,FALSE
14,Priests with guns,190.34,Franks,142.7,2015,TRUE
14,Franks,142.7,Priests with guns,190.34,2015,FALSE
14,Nuns with guns,93.71,The Chillybows,103.15,2015,FALSE
14,The Chillybows,103.15,Nuns with guns,93.71,2015,TRUE
1,The Indubitablys,176.68,The Chillybows,108.24,2014,TRUE
1,The Chillybows,108.24,The Indubitablys,176.68,2014,FALSE
1,Binaries,171.49,Earthbreakwood,164.35,2014,TRUE
1,Earthbreakwood,164.35,Binaries,171.49,2014,FALSE
1,Nuns with guns,127.67,Polk High Panthers,129.93,2014,FALSE
1,Polk High Panthers,129.93,Nuns with guns,127.67,2014,TRUE
1,Franks,123.22,Priests with guns,151.3,2014,FALSE
1,Priests with guns,151.3,Franks,123.22,2014,TRUE
2,The Indubitablys,155.7,Priests with guns,152.92,2014,TRUE
2,Priests with guns,152.92,The Indubitablys,155.7,2014,FALSE
2,Binaries,159.21,Nuns with guns,140.02,2014,TRUE
2,Nuns with guns,140.02,Binaries,159.21,2014,FALSE
2,Earthbreakwood,96.31,The Chillybows,109.97,2014,FALSE
2,The Chillybows,109.97,Earthbreakwood,96.31,2014,TRUE
2,Franks,178.54,Polk High Panthers,108.74,2014,TRUE
2,Polk High Panthers,108.74,Franks,178.54,2014,FALSE
3,The Indubitablys,130.92,Polk High Panthers,146.5,2014,FALSE
3,Polk High Panthers,146.5,The Indubitablys,130.92,2014,TRUE
3,Binaries,91.86,Franks,121.85,2014,FALSE
3,Franks,121.85,Binaries,91.86,2014,TRUE
3,Earthbreakwood,162.62,Nuns with guns,86.44,2014,TRUE
3,Nuns with guns,86.44,Earthbreakwood,162.62,2014,FALSE
3,Priests with guns,146.75,The Chillybows,127.89,2014,TRUE
3,The Chillybows,127.89,Priests with guns,146.75,2014,FALSE
4,The Indubitablys,174.62,Binaries,113.31,2014,TRUE
4,Binaries,113.31,The Indubitablys,174.62,2014,FALSE
4,Earthbreakwood,147.61,Franks,184.58,2014,FALSE
4,Franks,184.58,Earthbreakwood,147.61,2014,TRUE
4,Nuns with guns,60.61,The Chillybows,140,2014,FALSE
4,The Chillybows,140,Nuns with guns,60.61,2014,TRUE
4,Priests with guns,158.41,Polk High Panthers,145.21,2014,TRUE
4,Polk High Panthers,145.21,Priests with guns,158.41,2014,FALSE
5,The Indubitablys,155.14,Earthbreakwood,144.3,2014,TRUE
5,Earthbreakwood,144.3,The Indubitablys,155.14,2014,FALSE
5,Binaries,154.3,Priests with guns,185.55,2014,FALSE
5,Priests with guns,185.55,Binaries,154.3,2014,TRUE
5,Nuns with guns,110.26,Franks,133.51,2014,FALSE
5,Franks,133.51,Nuns with guns,110.26,2014,TRUE
5,Polk High Panthers,114.26,The Chillybows,152.08,2014,FALSE
5,The Chillybows,152.08,Polk High Panthers,114.26,2014,TRUE
6,The Indubitablys,174.22,Nuns with guns,102.46,2014,TRUE
6,Nuns with guns,102.46,The Indubitablys,174.22,2014,FALSE
6,Binaries,159.16,Polk High Panthers,162.95,2014,FALSE
6,Polk High Panthers,162.95,Binaries,159.16,2014,TRUE
6,Earthbreakwood,161.17,Priests with guns,162.11,2014,FALSE
6,Priests with guns,162.11,Earthbreakwood,161.17,2014,TRUE
6,Franks,142.98,The Chillybows,138.92,2014,TRUE
6,The Chillybows,138.92,Franks,142.98,2014,FALSE
7,The Indubitablys,174.58,Franks,129.82,2014,TRUE
7,Franks,129.82,The Indubitablys,174.58,2014,FALSE
7,Binaries,178.98,The Chillybows,132.91,2014,TRUE
7,The Chillybows,132.91,Binaries,178.98,2014,FALSE
7,Earthbreakwood,166.74,Polk High Panthers,130.12,2014,TRUE
7,Polk High Panthers,130.12,Earthbreakwood,166.74,2014,FALSE
7,Nuns with guns,127.3,Priests with guns,157.74,2014,FALSE
7,Priests with guns,157.74,Nuns with guns,127.3,2014,TRUE
8,The Indubitablys,220.06,The Chillybows,173.35,2014,TRUE
8,The Chillybows,173.35,The Indubitablys,220.06,2014,FALSE
8,Binaries,152.99,Earthbreakwood,191.14,2014,FALSE
8,Earthbreakwood,191.14,Binaries,152.99,2014,TRUE
8,Nuns with guns,122.91,Polk High Panthers,132.92,2014,FALSE
8,Polk High Panthers,132.92,Nuns with guns,122.91,2014,TRUE
8,Franks,161.33,Priests with guns,144.58,2014,TRUE
8,Priests with guns,144.58,Franks,161.33,2014,FALSE
9,The Indubitablys,165.53,Priests with guns,208.22,2014,FALSE
9,Priests with guns,208.22,The Indubitablys,165.53,2014,TRUE
9,Binaries,139.32,Nuns with guns,84.61,2014,TRUE
9,Nuns with guns,84.61,Binaries,139.32,2014,FALSE
9,Earthbreakwood,149.39,The Chillybows,110.24,2014,TRUE
9,The Chillybows,110.24,Earthbreakwood,149.39,2014,FALSE
9,Franks,152.8,Polk High Panthers,105.01,2014,TRUE
9,Polk High Panthers,105.01,Franks,152.8,2014,FALSE
10,The Indubitablys,177.06,Polk High Panthers,118.07,2014,TRUE
10,Polk High Panthers,118.07,The Indubitablys,177.06,2014,FALSE
10,Binaries,149.41,Franks,140.96,2014,TRUE
10,Franks,140.96,Binaries,149.41,2014,FALSE
10,Earthbreakwood,148.88,Nuns with guns,111.54,2014,TRUE
10,Nuns with guns,111.54,Earthbreakwood,148.88,2014,FALSE
10,Priests with guns,216.59,The Chillybows,121.36,2014,TRUE
10,The Chillybows,121.36,Priests with guns,216.59,2014,FALSE
11,The Indubitablys,184.96,Binaries,147.81,2014,TRUE
11,Binaries,147.81,The Indubitablys,184.96,2014,FALSE
11,Earthbreakwood,150.6,Franks,135.1,2014,TRUE
11,Franks,135.1,Earthbreakwood,150.6,2014,FALSE
11,Nuns with guns,93.62,The Chillybows,143.46,2014,FALSE
11,The Chillybows,143.46,Nuns with guns,93.62,2014,TRUE
11,Priests with guns,161.96,Polk High Panthers,139.7,2014,TRUE
11,Polk High Panthers,139.7,Priests with guns,161.96,2014,FALSE
12,The Indubitablys,156.12,Earthbreakwood,179.64,2014,FALSE
12,Earthbreakwood,179.64,The Indubitablys,156.12,2014,TRUE
12,Binaries,132.24,Priests with guns,135.33,2014,FALSE
12,Priests with guns,135.33,Binaries,132.24,2014,TRUE
12,Nuns with guns,94.17,Franks,181.39,2014,FALSE
12,Franks,181.39,Nuns with guns,94.17,2014,TRUE
12,Polk High Panthers,135.05,The Chillybows,122.15,2014,TRUE
12,The Chillybows,122.15,Polk High Panthers,135.05,2014,FALSE
13,The Indubitablys,218.42,Nuns with guns,86.24,2014,TRUE
13,Nuns with guns,86.24,The Indubitablys,218.42,2014,FALSE
13,Binaries,172.37,Polk High Panthers,149.12,2014,TRUE
13,Polk High Panthers,149.12,Binaries,172.37,2014,FALSE
13,Earthbreakwood,188.49,Priests with guns,220.28,2014,FALSE
13,Priests with guns,220.28,Earthbreakwood,188.49,2014,TRUE
13,Franks,147.07,The Chillybows,139.19,2014,TRUE
13,The Chillybows,139.19,Franks,147.07,2014,FALSE
14,The Indubitablys,162.21,Franks,178.81,2014,FALSE
14,Franks,178.81,The Indubitablys,162.21,2014,TRUE
14,Binaries,170.58,The Chillybows,181.5,2014,FALSE
14,The Chillybows,181.5,Binaries,170.58,2014,TRUE
14,Earthbreakwood,100.88,Polk High Panthers,159.77,2014,FALSE
14,Polk High Panthers,159.77,Earthbreakwood,100.88,2014,TRUE
14,Nuns with guns,116.77,Priests with guns,204.19,2014,FALSE
14,Priests with guns,204.19,Nuns with guns,116.77,2014,TRUE